Index,Year,H0,eH0,ObsType,Reference
519,2006.228,62,5,SS,"Sandage, A., Tammann, G.A., Saha, A., Reindl, B., Macchetto, F. \& Panagia, N. 2006, ApJ 653, 843. HST Ia Summary. Astroph0603647."
520,2006.25,74,5,S,"Ngeow, C. \& Kanbur, 2006, ApJL 642, L29. Astrop0603643."
521,2006.267,71,2,OC,"Huetsi, G. 2006, Astroph0604129. SDSS PS"
522,2006.39,70,2,SC,"Carneiro, S., Pigozzo, C., Borges, H. \& Alcaniz, J. astroph0605607."
523,2006.45,74,4,SC,"Peirani, S \& de Freitas Pacheco, J. 2006, in Ann Mtg French Society A\&A, A. Barrett \etal eds. p 293."
524,2006.5,72,6,S,"Wang, X. \etal 2006, ApJ 645, 488. Ia's and dust"
525,2006.6,76,9,Z,"Bonamente, M. \etal  2006, ApJ 647, 25.  X-Ray+SZ"
526,2006.664,56,-8,TS,"Sandage, A \& Tammann, G. 2006, ApJ Submitted. Astroph0608677.  Virgo TF"
527,2006.739,68,8,LC,"Oguri, M. 2007, ApJ 660. 1.  Astroph0609694."
528,2006.75,74,6,T,"Masters, K., Springob, C., Haynes, M. \& Giovanelli, R. 2006, ApJ 653, in press. astro-ph/0609249. SFI TF calibration."
529,2006.8,63,5,FS,"Dunn, L. \& Jergen, H. 2006, AJ 132, 1384.  Fornax SBF"
530,2006.853,77,5,P,"Feldmeier, J., Jacoby, G. \& Phillips, M. 2007, ApJ 657, 76.  Astroph0611231."
531,2006.917,74,4,ZC,"Cunha, J., Marassi, L. \& Lima, J.  2007, MNRAS in press. Astroph0611934."
532,2006.93,74,6,AK,"Macri, L. \etal 2006, ApJ 652, 1133.  NGC4258"
533,2007.13,49,8.5,LC,"Tortora, C. 2007, astroph0702501. Lensing estimates"
534,2007.364,76,8,A,"van Leeuwen, F., Feast, M., Whitelock, P. & Laney, C. 2007, MNRAS in press. Astroph 0705.1592."
535,2007.591,73,8,S,"Wang, X. et al. 2008, ApJ 675, 626.  astroph07080140. M100 SN200"
536,2007.708,71,4,OC,"Lima, J., Jesus, J. \& Cuhna, J. 2007 astroph0709.2195."
537,2007.72,52,3.5,LC,"Vuissoz, C. \etal 2007, A\&A 464, 845. J1650+4251   model dependent"
538,2007.903,77,7,O,"An, D., Terndrup, D. \& Pinnsoneault, M. 2007, ApJ 671, 1640. Astroph0707.3144. New Cepheid zeropoint."
539,2007.949,61,8.5,T,"Sandage, A. 2008, PASP in press. Astroph 0712.2066"
540,2008.175,70,1,CC,"Hinshaw, G. et al. 2008, WMAP 5 Year results. Astroph 0803.0732"
541,2008.177,71,1.5,CC,"Komatsu, E. et al. 2009, WMAP 5 Year resilts  arXiv0803.0547"
542,2008.833,52,4,2,"Jones, M. 2008, MSc Thesis, Universidad de Chile. arXiv0810.5538  12 SN II"
543,2009.18,62,6,LC,"Paraficz, D., Hjorth, J. \& Eliasdottir, A. 2009, arXiv0903.1027 5 SDSS Lenses"
544,2009.355,64,5,S,"Zhang, Q-J. \& Wu, Y-L. 2009, SN+BAO+SGL arXiv0905.1234"
545,2009.36,76,24.5,2,"Jones, M. et al. 2009. ApJ 696, 1176. SN II"
546,2009.45,74,4,S,"Riess, A. et al.  2009, arXiv:0905.0695"
547,2009.551,72,1,M,"Dinculescu, A. 2009, Astrophysics \& Space Science, in press. arXiv:0907.3281"
548,2010.277,63,2,AS,"Sandage, A., Reindl, B. \& Tammann, G. 2010, ApJ 714, 1441."
549,2010.281,73,4,AK,"Freedman, W. \& Madore, B. 2010, Ann. Rev 48, xx. ArXiv:1004.1856."
550,2010.689,62,5,LC,"Courbin, F. et al. 2010, A\&A in press. ArXiv:1009.1473.  HE0435-1223"
551,2012,62.3,6.3,IND,"Tammann and Reindl, 2012, Ap&SS, 341, 3."
552,2012,65,6.2,IND,"Lee and Jang, 2012, ApJL, 760, L14."
553,2012,74.3,2.1,IND,"Freedman et al. 2012, ApJ, 758, 24."
554,2012,74.3,6,IND,"Chávez et al., 2012, MNRAS, 425, L57."
555,2012,75.9,3.8,IND,"Courtois and Tully, 2012, ApJ, 749, 174."
556,2012,69.1,1.4,LCDM,"Campanelli et al., 2012, EPJC, 72, 2218."
557,2012,69.8,1.2,LCDM,"Mehta et al., 2012, MNRAS, 427, 2168."
558,2012,76.5,3.34,LCDM,"Holanda et al., 2012, GReGr, 44, 501."
559,2013,64,3.6,IND,"Tammann and Reindl, 2013, A&A, 549, A136."
560,2013,67,3.2,IND,"Colless et al., 2013, IAUS, 289, 319."
561,2013,68,9,IND,"Kuo et al., 2013, ApJ, 767, 155."
562,2013,68,4.8,IND,"Braatz et al., 2013, IAUS, 289, 255."
563,2013,68.4,6.3,IND,"Lee and Jang, 2013, ApJ, 773, 13."
564,2013,68.9,7.1,IND,"Reid et al. 2013, ApJ, 767, 154."
565,2013,72,3,IND,"Humphreys et al., 2013, ApJ, 775, 13."
566,2013,72.4,6,IND,"Di Benedetto, 2013, MNRAS, 430, 546."
567,2013,74,4,IND,"Sorce et al., 2013, ApJ, 765, 94."
568,2013,76,1.9,IND,"Fiorentino et al., 2013, MNRAS, 434, 2866."
569,2013,69,10,LCDM,"Sereno and Paraficz, 2014, MNRAS, 437, 600."
570,2013,70,2.2,LCDM,"Hinshaw et al., 2013, ApJS, 208, 19."
571,2013,71.8,15.6,LCDM,"Domínguez and Prada, 2013, ApJL, 771, L34."
572,2014,72,13,IND,"Jang and Lee, 2014, ApJ, 792, 52."
573,2014,75.2,3.3,IND,"Sorce et al., 2014, MNRAS, 444, 527."
574,2014,67.3,1.2,LCDM,"Planck Collaboration et al., 2014, A&A, 571, A16."
